sample_id	file_name
TCGA-AY-4070-01A-01T-1114-13	cd59806a-e746-4ba0-ab0d-c447d4e1c4ed.mirbase21.isoforms.quantification.txt
TCGA-A6-6650-01A-11H-A279-13	a66ee079-fc80-4461-be95-0f5e7a8161c9.mirbase21.isoforms.quantification.txt
TCGA-A6-6650-01B-02R-A27D-13	e24e97bf-e144-4283-9d42-da6501898b29.mirbase21.isoforms.quantification.txt
TCGA-A6-6650-01A-11H-1773-13	a8912425-e2a4-4c91-91fa-e21de6deced5.mirbase21.isoforms.quantification.txt
TCGA-AA-3488-01A-01T-1409-13	f45fc6c4-b83e-4c5b-b675-adf73a4e69e2.mirbase21.isoforms.quantification.txt
TCGA-AA-A01G-01A-21R-A076-13	98694eb1-1282-4426-8fb2-001ac8190323.mirbase21.isoforms.quantification.txt
TCGA-AA-3852-01A-01T-0906-13	9b385a07-81b4-4adb-a355-196ee9d76e67.mirbase21.isoforms.quantification.txt
TCGA-G4-6302-01A-11H-1722-13	bea312d3-e393-489a-8b5e-f1d89cdf531c.mirbase21.isoforms.quantification.txt
TCGA-A6-A56B-01A-31H-A28I-13	659eae36-9fb1-4a3d-80a8-edac2509f158.mirbase21.isoforms.quantification.txt
TCGA-CK-6747-01A-11H-1838-13	8b3e62cf-cbf7-4a25-a98d-bc9f5d31dcdb.mirbase21.isoforms.quantification.txt
TCGA-DM-A0X9-01A-11H-A154-13	e4c73412-e592-4832-945c-6b6b106a6087.mirbase21.isoforms.quantification.txt
TCGA-AA-A02R-01A-21R-A076-13	4d328151-b37f-45a3-a702-90c8e6361f78.mirbase21.isoforms.quantification.txt
TCGA-CM-6679-01A-11H-1838-13	983b6ce7-af5d-492f-aff9-798195e93375.mirbase21.isoforms.quantification.txt
TCGA-WS-AB45-01A-11H-A41D-13	f15d9425-17d7-4a42-a7c3-6d860a726e22.mirbase21.isoforms.quantification.txt
TCGA-AA-3509-01A-01T-1409-13	97a91378-776f-42e0-a085-7f4c28209649.mirbase21.isoforms.quantification.txt
TCGA-AA-3941-01A-01T-1021-13	0b3b49df-6f3f-407c-a9da-523d110c67a5.mirbase21.isoforms.quantification.txt
TCGA-AA-3502-01A-01T-1409-13	04455772-b474-444e-a97f-f6a987f7d9bc.mirbase21.isoforms.quantification.txt
TCGA-AZ-6605-01A-11H-1838-13	af39ea5e-0a83-4986-9d0a-0508f24a57ab.mirbase21.isoforms.quantification.txt
TCGA-DM-A1D4-01A-21H-A154-13	84e42e48-1447-49c7-9198-88b24e814603.mirbase21.isoforms.quantification.txt
TCGA-AZ-5403-01A-01T-1652-13	5ae228a6-234a-456a-9b2a-9fd191622681.mirbase21.isoforms.quantification.txt
TCGA-DM-A28E-01A-11H-A16S-13	295bf2af-8a10-43b5-a992-9b7553032b15.mirbase21.isoforms.quantification.txt
TCGA-A6-3809-01A-01T-1021-13	b0a1edae-2318-483e-83d8-1139f94ad3d7.mirbase21.isoforms.quantification.txt
TCGA-A6-6780-01A-11H-A279-13	80b4c1a4-cd7e-4dee-85bc-3b7a8810f90c.mirbase21.isoforms.quantification.txt
TCGA-A6-6780-01B-04R-A27D-13	0665763d-9bd3-4131-9253-e91ce139846a.mirbase21.isoforms.quantification.txt
TCGA-A6-6780-01A-11H-1838-13	2928f748-e8f0-4043-96ef-de184bdd9fc6.mirbase21.isoforms.quantification.txt
TCGA-CK-6748-01A-11H-1838-13	f8ffea0d-1b35-40d8-89b6-16c28681815e.mirbase21.isoforms.quantification.txt
TCGA-CM-6163-01A-11H-1652-13	8527296e-dff9-4e41-a508-d9b305e473ce.mirbase21.isoforms.quantification.txt
TCGA-4N-A93T-01A-11H-A37P-13	b8506324-aea5-4753-96ca-8ca317b10d19.mirbase21.isoforms.quantification.txt
TCGA-D5-5541-01A-01T-1652-13	17600d0e-2ff6-48fb-bbfc-290535befa55.mirbase21.isoforms.quantification.txt
TCGA-A6-5662-01A-01T-1652-13	2388a6a2-03c9-4483-8f90-aeb45a8b4135.mirbase21.isoforms.quantification.txt
TCGA-CM-5861-01A-01T-1652-13	043e4a8f-54b2-4846-bef4-94192ac7a949.mirbase21.isoforms.quantification.txt
TCGA-CA-6719-01A-11H-1838-13	3cd62167-7962-44ea-8923-6e9c7fc97807.mirbase21.isoforms.quantification.txt
TCGA-NH-A50U-01A-33H-A37P-13	78b7fec1-b7ef-4894-86d0-ae80003ffa3d.mirbase21.isoforms.quantification.txt
TCGA-F4-6459-01A-11H-1773-13	28b6e082-a79d-4837-a71f-63a8d26312cc.mirbase21.isoforms.quantification.txt
TCGA-D5-6538-01A-11H-1722-13	32738124-0213-4ace-931a-c898aae71574.mirbase21.isoforms.quantification.txt
TCGA-D5-6535-01A-11H-1722-13	f2ead0cb-8730-47f9-aced-54e2ac93f060.mirbase21.isoforms.quantification.txt
TCGA-AA-A02Y-01A-43R-A082-13	9151bc86-6539-4861-8230-a4f9825726e2.mirbase21.isoforms.quantification.txt
TCGA-5M-AATE-01A-11H-A41D-13	a6f1d4ee-b216-4b96-95a6-5705662254d7.mirbase21.isoforms.quantification.txt
TCGA-DM-A0XD-01A-12H-A154-13	4e4d08ac-3de1-47ab-9904-1bd7dab079c1.mirbase21.isoforms.quantification.txt
TCGA-4T-AA8H-01A-11H-A41D-13	c13e5ab1-f543-491a-bc28-73558b0403e5.mirbase21.isoforms.quantification.txt
TCGA-CK-6746-01A-11H-1838-13	a8c39ada-c03e-4bf6-9095-ca1d38880c27.mirbase21.isoforms.quantification.txt
TCGA-AZ-6598-01A-11H-1773-13	2924e996-fde6-41d0-b1f9-3a5c32e01186.mirbase21.isoforms.quantification.txt
TCGA-AA-3968-01A-01T-1021-13	1bd1614f-1d5e-477a-92c6-f743251a17b4.mirbase21.isoforms.quantification.txt
TCGA-CM-4748-01A-01T-1409-13	ac8b732c-b63d-4c0d-a9df-ff1519ef15cf.mirbase21.isoforms.quantification.txt
